movie_id,cntry,year
tt0387037,USA,2005
tt0387055,USA,2005
tt0387059,USA,2005
tt0387131,USA,2005
tt0387155,USA,2004
tt0387514,USA,2005
tt0387549,USA,2005
tt0387564,USA,2004
tt0387575,USA,2004
tt0387596,USA,2003
tt0387808,USA,2006
tt0387877,USA,2006
tt0387892,USA,2004
tt0387898,USA,2005
tt0387989,USA,2004
tt0388118,USA,2004
tt0388125,USA,2005
tt0388139,USA,2004
tt0388182,USA,2007
tt0388183,USA,2005
tt0388230,USA,2004
tt0388285,USA,2004
tt0388288,USA,2006
tt0388311,USA,2004
tt0388315,USA,2003
tt0388395,USA,2003
tt0388419,USA,2004
tt0388473,USA,2003
tt0388482,USA,2005
tt0388500,USA,2005
tt0388795,USA,2005
tt0388838,USA,2004
tt0388980,USA,2005
tt0389235,USA,2004
tt0389328,USA,2007
tt0389557,USA,2006
tt0389722,USA,2007
tt0389790,USA,2007
tt0389828,USA,2004
tt0389831,USA,2004
tt0389860,USA,2006
tt0390022,USA,2004
tt0390080,USA,2004
tt0390185,USA,2004
tt0390221,USA,2004
tt0390384,USA,2004
tt0390418,USA,2004
tt0390614,USA,2005
tt0391104,USA,2004
tt0391198,USA,2004
tt0391229,USA,2006
tt0391304,USA,2005
tt0391483,USA,2004
tt0391892,USA,2003
tt0392465,USA,2005
tt0392908,USA,2005
tt0393109,USA,2005
tt0393162,USA,2005
tt0393735,USA,2006
tt0395125,USA,2004
tt0395169,USA,2004
tt0395251,USA,2005
tt0395461,USA,2005
tt0395495,USA,2006
tt0395543,USA,2005
tt0395561,USA,2005
tt0395584,USA,2005
tt0395699,USA,2005
tt0395972,USA,2005
tt0396041,USA,2003
tt0396112,USA,2004
tt0396171,USA,2006
tt0396223,USA,2004
tt0396269,USA,2005
tt0396271,USA,2004
tt0396555,USA,2007
tt0396587,USA,2005
tt0396592,USA,2004
tt0396652,USA,2005
tt0396690,USA,2005
tt0396752,USA,2005
tt0396857,USA,2005
tt0396962,USA,2004
tt0397044,USA,2007
tt0397065,USA,2005
tt0397078,USA,2006
tt0397101,USA,2005
tt0397103,USA,2005
tt0397313,USA,2006
tt0397535,USA,2005
tt0397892,USA,2008
tt0398017,USA,2005
tt0398027,USA,2005
tt0398165,USA,2005
tt0398286,USA,2010
tt0398375,USA,2005
tt0398390,USA,2004
tt0398712,USA,2005
